sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history
26713,SKM/NORTH/78A11/2015/003,Sikkim,North Sikkim,Rangrang Landslide,Rangrang (On Mangan to Dikchu road ),27.46166,88.52341,Debris,Debris slide,1 June 2015
26714,SKM/EAST/78A11/2015/004,Sikkim,East Sikkim,Tumin Landslide,Tumin,27.33208,88.50902,Debris,Debris slide,11 July 2015
26715,SKM/ND/78A/06_10/ 2016/01,Sikkim,North Sikkim,Dzongu landslide,"Left bank slope of Talong Chu (locally known as Kanaka river), just opposite to the Dzongu (Upper) village",27.53533333,88.49797222,Mainly rock boulders containing mica schist along with boulders of gneiss and quartzite.,Slide/Avalanch e,"2006, 13 August 2016 at 13:30 hrs."
26716,State: Sikkim/district: East District/toposheet: 78A/11/year: 2018/serial no.,Sikkim,East Sikkim,"Upper Syari, Deorali, Gangtok","Near Butter fly Chowk, Syari, Deorali, Gangtok",27.31583333,88.60666667,Debris,Bulging and slope failure,"7 August 2018, 9 August 2018"
26717,State: Sikkim/district: East District/toposheet: 78A/11/year: 2018/serial no.,Sikkim,East Sikkim,1st BN Sikkim Scouts and the road stretch (JNM axis) ahead of MS-8,State Highway; near 8th Mile,27.37027778,88.67361111,Debris,Subsidence,August 2018
26718,State: Sikkim/district: North District/toposheet: 78A/11/year: 2018/serial no.,Sikkim,North Sikkim,Kabi Landslide,State Highway; 4 km before Kabi village,27.39305556,88.63527778,Rock,Slide,"Mid-July 2018, 2 August 2018"
26719,Sikkim/ East District/ 78A/11/2019/,Sikkim,East Sikkim,Chubba Khola,"Marchak-Rumtek road, about 9 kms from Ranipool",27.28081944,88.57090278,Boulders and debris,Slide,2017
26720,Sikkim/ East District/ 78A/11/2019/,Sikkim,East Sikkim,Martam,"NH-10A, Martam",27.25941667,88.55038889,Boulders and debris,Debris slide,2017
26721,State: Sikkim/District : West District/Toposheet: 78A/03/year: 2019,Sikkim,West District,Yuksom-Tsong Village landslide,"Yuksom in West Sikkim, local village road up to Tsong Village",27.36473056,88.23727778,Multiple slide comprising of Earth or soil slide / flow,Multiple type of movements includes debris slide / Earth or soil slide / flow / lateral spread,16 September 2019
26722,State: Sikkim/District: East District/Toposheet: 78A/11/year: 2019/,Sikkim,East Sikkim,"Palzor Stadium road, Gangtok","Near Tamang Monastery, Palzor Stadium road, Gangtok",27.33825,88.60911111,Debris,Slide/Subsidenc e,23 April 2019 at 05:00 hrs.
26723,Sikkim/ East District/ 78A/11/2019/,Sikkim,East Sikkim,Tumlabung,Near Lower Tumlabung on Ranipool-Tumlabung Bye Pass road,27.27352778,88.57783333,Debris,Slide,July/August 2019
26724,SK/NS/78A11/,Sikkim,East Sikkim (Near Kaabi),Kaabi II,"NH 31A, Near B2 Bridge.",27.38107778,88.64063333,Rock,Rock Slide,NA
26725,Sikkim/ North District/ 78A/11/2020/02,Sikkim,North Sikkim,"Dhare Slide, Kabi",North Sikkim Highway/ Dhare/Kabi,27.39866667,88.62358333,Soil,Slide,24 May 2020 at 12:30 hrs.
26726,Sikkim/ North District/ 78A/11/2020/03,Sikkim,North Sikkim,"Satala Slide, Kabi",North Sikkim Highway/ Satala/Kabi,27.39838889,88.62566667,Debris cum rock,Slide,24 May 2020 at 13:50 hrs.
26727,State: Sikkim/North District/ 78A/11/2020/03.,Sikkim,North Sikkim,Kabi Landslide,State Highway; 4 km before Kabi village,27.39305556,88.63527778,Rock,Slide,"Mid-July 2018, 2 August 2018, 24 May 2020"
26728,SI/ESI/ 78A11/ 2021/RP1,Sikkim,East Sikkim,Ranipool to Pakyong road slide,717A State road,27.25352778,88.60377778,Rock cum debris,Slide,"September 2020, 18-19 October 2021"
26729,Sikkim/NK/78A11/2022/SP1,Sikkim,North Sikkim,Salim Pakel village,Village road,27.5401,88.56929167,Rock cum debris,Slide,2019
26730,Sikkim/NK/78A10/2022/II,Sikkim,North Sikkim,Shipgyre slide right bank of Teesta (Shipgyre Slide II),State road,27.55314167,88.62179722,Debris,Slide,2012
26731,Sikkim/North Sikkim/SV01 78A10/ 2022,Sikkim,North Sikkim,Shipgyer village,Village road,27.54975833,88.57530833,Rock cum debris,Slide,2020
26732,Sikkim/NK/78A10/2022/III,Sikkim,North Sikkim,Shipgyer slide right bank of Teesta (Shipgyer slide III),State road,27.54810833,88.60807778,Debris,Slide,2012
26733,Sikkim/NK/78A10/2022/IV,Sikkim,North Sikkim,West of Shipgyer,State road,27.55236944,88.58208333,Debris,Slide,2019
26734,SK/ES/78 A11/BG-I,Sikkim,East Sikkim,Bhojagari- I,Indira Bye Pass Road,27.36388889,88.62083333,Debris,Slide,NA
26735,SK/ES/78 A11/CP,Sikkim,East Sikkim,Chisopani I Landslide,Pendam-Singtam Road,27.23166667,88.5025,Debris,Slide,"July 2020, December 2020"
26736,SK/ES/78 A11/CL,Sikkim,East Sikkim,Chuba Landslide,Chuba link Road,27.27458333,88.55002778,Debris,Slide,18-19 October 2021
26737,SK/ES/78 A11/SW-1,Sikkim,East Sikkim,Swastik Market Slide,NH-10,27.35694444,88.61833333,Soil,Slide,NA
26738,SK/ES/78 A11/DD,Sikkim,East Sikkim,Deepudada Slide,Singtam-Dikchu Road,27.25858333,88.46166667,Debris,Slide,Between April 2018 and December 2021
26739,SK/ES/78 A11/DA-I,Sikkim,East Sikkim,Development area- I (Near Little Pixes School),Development area,27.33941667,88.60990556,Soil,Slide,6 June 2021 in the morning
